SuperWEB2(tm),,,,,
,,,,,
Census 2022-Person-2Fv1,,,,,
Scotland's Census 2022 - National Records of Scotland Table UV501a - Highest level of qualification by sex by age (16) All people aged 16 and over,,,,,
United Kingdom Parliamentary Constituency 2024 by Sex and Age by Highest Level of Qualification,,,,,
Counting: Individuals,,,,,
,,,,,
Filters:,,,,,
Default Summation,Individuals,,,,
,,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Sex,Age,Highest Level of Qualification,Count
Individuals,East Renfrewshire,All people aged 16 and over,Total,All people aged 16 and over,77457
Individuals,East Renfrewshire,All people aged 16 and over,Total,No qualifications,9004
Individuals,East Renfrewshire,All people aged 16 and over,Total,Lower school qualifications,10625
Individuals,East Renfrewshire,All people aged 16 and over,Total,Upper school qualifications,9549
Individuals,East Renfrewshire,All people aged 16 and over,Total,Apprenticeship qualifications,4641
Individuals,East Renfrewshire,All people aged 16 and over,Total,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,9105
Individuals,East Renfrewshire,All people aged 16 and over,Total,Degree level qualifications or above,34533
Individuals,East Renfrewshire,All people aged 16 and over,16 to 19,All people aged 16 and over,4486
Individuals,East Renfrewshire,All people aged 16 and over,16 to 19,No qualifications,246
Individuals,East Renfrewshire,All people aged 16 and over,16 to 19,Lower school qualifications,1422
Individuals,East Renfrewshire,All people aged 16 and over,16 to 19,Upper school qualifications,2216
Individuals,East Renfrewshire,All people aged 16 and over,16 to 19,Apprenticeship qualifications,92
Individuals,East Renfrewshire,All people aged 16 and over,16 to 19,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,316
Individuals,East Renfrewshire,All people aged 16 and over,16 to 19,Degree level qualifications or above,191
Individuals,East Renfrewshire,All people aged 16 and over,20 to 24,All people aged 16 and over,4484
Individuals,East Renfrewshire,All people aged 16 and over,20 to 24,No qualifications,109
Individuals,East Renfrewshire,All people aged 16 and over,20 to 24,Lower school qualifications,397
Individuals,East Renfrewshire,All people aged 16 and over,20 to 24,Upper school qualifications,1275
Individuals,East Renfrewshire,All people aged 16 and over,20 to 24,Apprenticeship qualifications,233
Individuals,East Renfrewshire,All people aged 16 and over,20 to 24,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,845
Individuals,East Renfrewshire,All people aged 16 and over,20 to 24,Degree level qualifications or above,1625
Individuals,East Renfrewshire,All people aged 16 and over,25 to 29,All people aged 16 and over,3776
Individuals,East Renfrewshire,All people aged 16 and over,25 to 29,No qualifications,139
Individuals,East Renfrewshire,All people aged 16 and over,25 to 29,Lower school qualifications,378
Individuals,East Renfrewshire,All people aged 16 and over,25 to 29,Upper school qualifications,326
Individuals,East Renfrewshire,All people aged 16 and over,25 to 29,Apprenticeship qualifications,214
Individuals,East Renfrewshire,All people aged 16 and over,25 to 29,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,680
Individuals,East Renfrewshire,All people aged 16 and over,25 to 29,Degree level qualifications or above,2043
Individuals,East Renfrewshire,All people aged 16 and over,30 to 34,All people aged 16 and over,4568
Individuals,East Renfrewshire,All people aged 16 and over,30 to 34,No qualifications,173
Individuals,East Renfrewshire,All people aged 16 and over,30 to 34,Lower school qualifications,541
Individuals,East Renfrewshire,All people aged 16 and over,30 to 34,Upper school qualifications,356
Individuals,East Renfrewshire,All people aged 16 and over,30 to 34,Apprenticeship qualifications,223
Individuals,East Renfrewshire,All people aged 16 and over,30 to 34,Further Education and sub-degree Higher Education qualifications incl. HNC/HNDs,669
Individuals,East Renfrewshire,All people aged 16 and over,30 to 34,Degree level qualifications or above,2610
Individuals,East Renfrewshire,All people aged 16 and over,35 to 39,All people aged 16 and over,5741
