SuperWEB2(tm),,,
,,,
Census 2022-Household-2Ev1,,,
Scotland's Census 2022 - National Records of Scotland Table UV404 - Household tenure - Households All occupied households,,,
United Kingdom Parliamentary Constituency 2024 by Household Tenure,,,
Counting: Households,,,
,,,
Filters:,,,
Default Summation,Households,,
,,,
Counting,United Kingdom Parliamentary Constituency 2024,Household Tenure,Count
Households,East Renfrewshire,All occupied households,39732
Households,East Renfrewshire,Owned: Total,32819
Households,East Renfrewshire,Owned: Owned outright,17721
Households,East Renfrewshire,Owned: Owned with a mortgage or loan,14911
Households,East Renfrewshire,Owned: Shared ownership (part owned and part rented),42
Households,East Renfrewshire,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),150
Households,East Renfrewshire,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4275
Households,East Renfrewshire,Private rented: Total,2280
Households,East Renfrewshire,Private rented: Private landlord or letting agency,2177
Households,East Renfrewshire,Private rented: Other,104
Households,East Renfrewshire,Lives Rent Free,351
Households,Na h-Eileanan an Iar,All occupied households,12717
Households,Na h-Eileanan an Iar,Owned: Total,9459
Households,Na h-Eileanan an Iar,Owned: Owned outright,6646
Households,Na h-Eileanan an Iar,Owned: Owned with a mortgage or loan,2711
Households,Na h-Eileanan an Iar,Owned: Shared ownership (part owned and part rented),18
Households,Na h-Eileanan an Iar,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),83
Households,Na h-Eileanan an Iar,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2178
Households,Na h-Eileanan an Iar,Private rented: Total,726
Households,Na h-Eileanan an Iar,Private rented: Private landlord or letting agency,677
Households,Na h-Eileanan an Iar,Private rented: Other,49
Households,Na h-Eileanan an Iar,Lives Rent Free,355
Households,Midlothian,All occupied households,41009
Households,Midlothian,Owned: Total,28014
Households,Midlothian,Owned: Owned outright,13075
Households,Midlothian,Owned: Owned with a mortgage or loan,14372
Households,Midlothian,Owned: Shared ownership (part owned and part rented),67
Households,Midlothian,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),501
Households,Midlothian,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9446
Households,Midlothian,Private rented: Total,3146
Households,Midlothian,Private rented: Private landlord or letting agency,2900
Households,Midlothian,Private rented: Other,246
Households,Midlothian,Lives Rent Free,403
Households,North Ayrshire and Arran,All occupied households,44516
Households,North Ayrshire and Arran,Owned: Total,28710
Households,North Ayrshire and Arran,Owned: Owned outright,17361
Households,North Ayrshire and Arran,Owned: Owned with a mortgage or loan,11191
Households,North Ayrshire and Arran,Owned: Shared ownership (part owned and part rented),53
Households,North Ayrshire and Arran,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),101
Households,North Ayrshire and Arran,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10931
Households,North Ayrshire and Arran,Private rented: Total,4279
Households,North Ayrshire and Arran,Private rented: Private landlord or letting agency,4124
Households,North Ayrshire and Arran,Private rented: Other,155
Households,North Ayrshire and Arran,Lives Rent Free,596
Households,Orkney and Shetland,All occupied households,21204
Households,Orkney and Shetland,Owned: Total,14643
Households,Orkney and Shetland,Owned: Owned outright,9537
Households,Orkney and Shetland,Owned: Owned with a mortgage or loan,4848
Households,Orkney and Shetland,Owned: Shared ownership (part owned and part rented),169
Households,Orkney and Shetland,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),86
Households,Orkney and Shetland,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4201
Households,Orkney and Shetland,Private rented: Total,1759
Households,Orkney and Shetland,Private rented: Private landlord or letting agency,1654
Households,Orkney and Shetland,Private rented: Other,109
Households,Orkney and Shetland,Lives Rent Free,601
Households,Aberdeen North,All occupied households,53821
Households,Aberdeen North,Owned: Total,30460
