SuperWEB2(tm),,,,
,,,,
Census 2022-Household-2Ev1,,,,
Scotland's Census 2022 - National Records of Scotland Table UV416 - Household tenure by age of Household Reference Person All Household Reference Persons aged 16 and over,,,,
United Kingdom Parliamentary Constituency 2024 and Age of Household Reference Person by Household Tenure,,,,
Counting: Households,,,,
,,,,
Filters:,,,,
Default Summation,Households,,,
,,,,
Counting,United Kingdom Parliamentary Constituency 2024,Age of Household Reference Person,Household Tenure,Count
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,39732
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Owned: Total,32819
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Owned: Owned outright,17721
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,14911
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),42
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),150
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,4275
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Private rented: Total,2280
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,2177
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Private rented: Other,104
Households,East Renfrewshire,All Household Reference Persons aged 16 and over,Lives Rent Free,351
Households,East Renfrewshire,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,3349
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Owned: Total,2164
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Owned: Owned outright,301
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1838
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),2
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),24
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,609
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Private rented: Total,525
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,507
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Private rented: Other,19
Households,East Renfrewshire,Household Reference Person ages 16 to 34,Lives Rent Free,52
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,9937
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Owned: Total,8061
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Owned: Owned outright,1041
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,6950
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),10
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),60
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,949
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Private rented: Total,870
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,842
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Private rented: Other,26
Households,East Renfrewshire,Household Reference Person is aged 35 to 49,Lives Rent Free,62
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,12427
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Owned: Total,10458
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Owned: Owned outright,5200
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,5233
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),9
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),16
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1357
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Private rented: Total,531
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,511
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Private rented: Other,16
Households,East Renfrewshire,Household Reference Person is aged 50 to 64,Lives Rent Free,81
Households,East Renfrewshire,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,14018
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Owned: Total,12138
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Owned: Owned outright,11179
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,887
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),22
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),50
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1358
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Private rented: Total,359
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,320
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Private rented: Other,39
Households,East Renfrewshire,Household Reference Person is aged 65 and over,Lives Rent Free,163
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,12717
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Owned: Total,9459
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Owned: Owned outright,6646
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,2711
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),18
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),83
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2178
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Private rented: Total,726
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,677
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Private rented: Other,49
Households,Na h-Eileanan an Iar,All Household Reference Persons aged 16 and over,Lives Rent Free,355
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,1349
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Owned: Total,571
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Owned: Owned outright,171
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,356
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),1
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),43
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,483
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Private rented: Total,234
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,226
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Private rented: Other,8
Households,Na h-Eileanan an Iar,Household Reference Person ages 16 to 34,Lives Rent Free,64
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,2448
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Owned: Total,1654
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Owned: Owned outright,580
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,1052
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),1
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),21
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,525
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Private rented: Total,212
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,200
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Private rented: Other,12
Households,Na h-Eileanan an Iar,Household Reference Person is aged 35 to 49,Lives Rent Free,57
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,4152
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Owned: Total,3258
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Owned: Owned outright,2169
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,1077
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),5
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),7
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,647
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Private rented: Total,158
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,148
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Private rented: Other,7
Households,Na h-Eileanan an Iar,Household Reference Person is aged 50 to 64,Lives Rent Free,82
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,4771
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Owned: Total,3975
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Owned: Owned outright,3726
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,226
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),11
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),12
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,526
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Private rented: Total,122
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,103
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Private rented: Other,16
Households,Na h-Eileanan an Iar,Household Reference Person is aged 65 and over,Lives Rent Free,148
Households,Midlothian,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,41009
Households,Midlothian,All Household Reference Persons aged 16 and over,Owned: Total,28014
Households,Midlothian,All Household Reference Persons aged 16 and over,Owned: Owned outright,13075
Households,Midlothian,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,14372
Households,Midlothian,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),67
Households,Midlothian,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),501
Households,Midlothian,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,9446
Households,Midlothian,All Household Reference Persons aged 16 and over,Private rented: Total,3146
Households,Midlothian,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,2900
Households,Midlothian,All Household Reference Persons aged 16 and over,Private rented: Other,246
Households,Midlothian,All Household Reference Persons aged 16 and over,Lives Rent Free,403
Households,Midlothian,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,6017
Households,Midlothian,Household Reference Person ages 16 to 34,Owned: Total,3416
Households,Midlothian,Household Reference Person ages 16 to 34,Owned: Owned outright,264
Households,Midlothian,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,2964
Households,Midlothian,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),9
Households,Midlothian,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),176
Households,Midlothian,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,1553
Households,Midlothian,Household Reference Person ages 16 to 34,Private rented: Total,990
Households,Midlothian,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,916
Households,Midlothian,Household Reference Person ages 16 to 34,Private rented: Other,73
Households,Midlothian,Household Reference Person ages 16 to 34,Lives Rent Free,59
Households,Midlothian,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,10698
Households,Midlothian,Household Reference Person is aged 35 to 49,Owned: Total,7200
Households,Midlothian,Household Reference Person is aged 35 to 49,Owned: Owned outright,726
Households,Midlothian,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,6238
Households,Midlothian,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),5
Households,Midlothian,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),229
Households,Midlothian,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2390
Households,Midlothian,Household Reference Person is aged 35 to 49,Private rented: Total,1057
Households,Midlothian,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,972
Households,Midlothian,Household Reference Person is aged 35 to 49,Private rented: Other,83
Households,Midlothian,Household Reference Person is aged 35 to 49,Lives Rent Free,53
Households,Midlothian,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,12268
Households,Midlothian,Household Reference Person is aged 50 to 64,Owned: Total,8597
Households,Midlothian,Household Reference Person is aged 50 to 64,Owned: Owned outright,4067
Households,Midlothian,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4453
Households,Midlothian,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),29
Households,Midlothian,Household Reference Person is aged 50 to 64,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),48
Households,Midlothian,Household Reference Person is aged 50 to 64,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2914
Households,Midlothian,Household Reference Person is aged 50 to 64,Private rented: Total,667
Households,Midlothian,Household Reference Person is aged 50 to 64,Private rented: Private landlord or letting agency,618
Households,Midlothian,Household Reference Person is aged 50 to 64,Private rented: Other,49
Households,Midlothian,Household Reference Person is aged 50 to 64,Lives Rent Free,90
Households,Midlothian,Household Reference Person is aged 65 and over,All Household Reference Persons aged 16 and over,12025
Households,Midlothian,Household Reference Person is aged 65 and over,Owned: Total,8801
Households,Midlothian,Household Reference Person is aged 65 and over,Owned: Owned outright,8018
Households,Midlothian,Household Reference Person is aged 65 and over,Owned: Owned with a mortgage or loan,717
Households,Midlothian,Household Reference Person is aged 65 and over,Owned: Shared ownership (part owned and part rented),22
Households,Midlothian,Household Reference Person is aged 65 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),40
Households,Midlothian,Household Reference Person is aged 65 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2589
Households,Midlothian,Household Reference Person is aged 65 and over,Private rented: Total,434
Households,Midlothian,Household Reference Person is aged 65 and over,Private rented: Private landlord or letting agency,393
Households,Midlothian,Household Reference Person is aged 65 and over,Private rented: Other,41
Households,Midlothian,Household Reference Person is aged 65 and over,Lives Rent Free,201
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,All Household Reference Persons aged 16 and over,44516
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Total,28710
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Owned outright,17361
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Owned with a mortgage or loan,11191
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Shared ownership (part owned and part rented),53
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),101
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,10931
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Private rented: Total,4279
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Private rented: Private landlord or letting agency,4124
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Private rented: Other,155
Households,North Ayrshire and Arran,All Household Reference Persons aged 16 and over,Lives Rent Free,596
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,All Household Reference Persons aged 16 and over,5569
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Total,2183
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Owned outright,394
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Owned with a mortgage or loan,1761
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Shared ownership (part owned and part rented),6
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),22
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2147
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Private rented: Total,1138
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Private rented: Private landlord or letting agency,1108
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Private rented: Other,30
Households,North Ayrshire and Arran,Household Reference Person ages 16 to 34,Lives Rent Free,101
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,All Household Reference Persons aged 16 and over,9046
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Total,5049
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Owned outright,981
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Owned with a mortgage or loan,4039
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Shared ownership (part owned and part rented),5
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Owned: Shared Equity (e.g. LIFT or Help-to-Buy),24
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,2661
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Private rented: Total,1244
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Private rented: Private landlord or letting agency,1200
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Private rented: Other,48
Households,North Ayrshire and Arran,Household Reference Person is aged 35 to 49,Lives Rent Free,88
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,All Household Reference Persons aged 16 and over,14103
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Total,9658
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Owned outright,5221
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Owned with a mortgage or loan,4400
Households,North Ayrshire and Arran,Household Reference Person is aged 50 to 64,Owned: Shared ownership (part owned and part rented),25
